epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7938,1.62507,3.83688,1.39653,0,0,0,0,2.20108,4.081,1.64639,1.429e-05,1.429e-05,1.429e-05
2,31.8819,1.62497,4.0227,1.38196,0,0,0,0,2.16403,4.08036,1.62659,4.20212e-05,4.20212e-05,4.20212e-05
3,41.7243,1.55726,3.86389,1.3226,0,0,0,0,2.1094,4.0766,1.59564,6.86206e-05,6.86206e-05,6.86206e-05
4,49.0543,1.71408,3.81414,1.49024,0,0,0,0,1.95707,4.07473,1.52299,9.40882e-05,9.40882e-05,9.40882e-05
5,58.6371,1.42818,3.52194,1.22474,0,0,0,0,1.59711,4.06312,1.36204,0.000118424,0.000118424,0.000118424
6,67.2446,1.40537,3.66169,1.23087,0,0,0,0,1.3234,4.01574,1.22759,0.000141628,0.000141628,0.000141628
7,76.6636,1.27495,3.29581,1.08231,0,0,0,0,1.18301,3.90782,1.11448,0.000163701,0.000163701,0.000163701
8,85.0064,1.21612,3.23094,1.13614,0.00118,0.0013,0.00064,9e-05,1.131,3.79547,1.0467,0.000184641,0.000184641,0.000184641
9,92.8101,1.06553,2.9743,1.01881,0.00533,0.00585,0.00294,0.00088,1.10954,3.74829,1.02082,0.00020445,0.00020445,0.00020445
10,101.407,1.01814,2.58192,0.99217,0.01735,0.06256,0.01216,0.00677,1.08302,3.70513,1.0014,0.000223127,0.000223127,0.000223127
11,109.271,1.12991,2.68115,0.96957,0.03213,0.15233,0.03312,0.02202,1.08789,3.67173,0.99285,0.000240672,0.000240672,0.000240672
12,118.555,1.23333,2.79928,0.99062,0.04675,0.25666,0.06493,0.04394,1.08107,3.6336,0.98744,0.000257086,0.000257086,0.000257086
13,128.16,1.03085,2.39451,0.96449,0.06174,0.34902,0.08794,0.05778,1.06065,3.57854,0.97778,0.000272367,0.000272367,0.000272367
14,135.662,1.20124,2.54648,0.98012,0.07401,0.38179,0.11068,0.07036,1.03086,3.50587,0.96945,0.000286517,0.000286517,0.000286517
15,143.15,0.9338,1.87894,0.92631,0.10385,0.44314,0.14692,0.09252,1.02161,3.37091,0.95445,0.000299536,0.000299536,0.000299536
16,151.273,1.04121,1.72343,0.94619,0.13205,0.49123,0.19152,0.12848,1.01729,3.24222,0.94723,0.000311422,0.000311422,0.000311422
17,159.75,1.13145,2.02901,0.99906,0.16371,0.54906,0.26877,0.18373,1.00526,3.04833,0.93421,0.000322177,0.000322177,0.000322177
18,167.95,0.96968,1.80744,0.94119,0.19039,0.62427,0.37172,0.25655,0.99984,2.88304,0.9296,0.0003318,0.0003318,0.0003318
19,175.84,0.94775,1.65924,0.94415,0.22101,0.74943,0.49846,0.34703,0.98267,2.751,0.93353,0.000340291,0.000340291,0.000340291
20,185.25,1.15739,1.70115,0.93134,0.24038,0.8614,0.55987,0.39192,0.94933,2.54617,0.9392,0.00034765,0.00034765,0.00034765
21,194.213,0.98809,1.30064,0.93621,0.2443,0.90826,0.58856,0.41676,0.92646,2.34575,0.94313,0.000353878,0.000353878,0.000353878
22,202.869,1.03904,1.48926,0.92381,0.25125,0.92475,0.6103,0.43825,0.93668,2.17075,0.95216,0.000358973,0.000358973,0.000358973
23,210.007,0.91394,1.24375,0.94589,0.47897,0.71252,0.62566,0.43632,0.97775,2.04064,0.96075,0.000362937,0.000362937,0.000362937
24,217.321,0.98954,1.16138,0.93606,0.65839,0.55566,0.66565,0.46951,0.9685,1.90967,0.95504,0.00036577,0.00036577,0.00036577
25,225.659,0.90288,1.09919,0.90766,0.88236,0.55727,0.70156,0.49927,0.95363,1.80287,0.94446,0.00036747,0.00036747,0.00036747
26,232.344,1.0158,1.08504,0.91725,0.96977,0.54646,0.74692,0.53701,0.96162,1.66738,0.94509,0.000368039,0.000368039,0.000368039
27,238.894,0.82496,1.13025,0.91374,0.94796,0.59361,0.81856,0.61433,0.93459,1.45748,0.94784,0.000367476,0.000367476,0.000367476
28,246.939,0.89995,1.01604,0.94584,0.94796,0.59361,0.81856,0.61433,0.93459,1.45748,0.94784,0.000365781,0.000365781,0.000365781
29,255.77,1.02979,1.0713,0.9148,0.95272,0.69709,0.88591,0.68059,0.96107,1.33717,0.97135,0.000362955,0.000362955,0.000362955
30,263.641,0.93994,1.03222,0.90053,0.88946,0.77318,0.91013,0.69845,0.97638,1.24329,0.98716,0.000358996,0.000358996,0.000358996
31,276.544,0.94681,1.01891,0.91484,0.88946,0.77318,0.91013,0.69845,0.97638,1.24329,0.98716,0.000353906,0.000353906,0.000353906
32,285.473,0.90293,1.03487,0.93497,0.89574,0.86641,0.92325,0.71614,0.92961,1.19177,0.96654,0.000347684,0.000347684,0.000347684
33,294.13,0.84931,1.04893,0.9392,0.89669,0.91395,0.93107,0.72592,0.88928,1.13608,0.95385,0.000340331,0.000340331,0.000340331
34,303.418,0.8872,0.84555,0.91571,0.89669,0.91395,0.93107,0.72592,0.88928,1.13608,0.95385,0.000331845,0.000331845,0.000331845
35,313.249,0.91146,1.00549,0.94072,0.90717,0.90717,0.93204,0.71994,0.87685,1.12858,0.94614,0.000322228,0.000322228,0.000322228
36,320.098,0.86211,0.87014,0.93157,0.92225,0.90913,0.93071,0.71236,0.89071,1.07791,0.94677,0.000311479,0.000311479,0.000311479
37,327.646,0.75582,1.07144,0.91172,0.92225,0.90913,0.93071,0.71236,0.89071,1.07791,0.94677,0.000299598,0.000299598,0.000299598
38,333.883,0.87774,0.8755,0.90312,0.92574,0.91351,0.93152,0.71802,0.90637,1.03601,0.9526,0.000286586,0.000286586,0.000286586
39,340.923,1.08772,1.14818,0.9399,0.93698,0.91727,0.93494,0.72089,0.93045,1.03003,0.96003,0.000272442,0.000272442,0.000272442
40,348.193,0.84794,0.75767,0.88736,0.93698,0.91727,0.93494,0.72089,0.93045,1.03003,0.96003,0.000257166,0.000257166,0.000257166
41,411.06,1.02287,1.4512,0.99115,0.95025,0.92065,0.93884,0.72125,0.92559,0.98777,0.9586,0.000240758,0.000240758,0.000240758
42,416.868,0.8625,0.86505,0.91364,0.96701,0.92575,0.94271,0.72737,0.89844,0.93947,0.95027,0.000223218,0.000223218,0.000223218
43,422.467,0.74197,0.86341,0.87429,0.96701,0.92575,0.94271,0.72737,0.89844,0.93947,0.95027,0.000204547,0.000204547,0.000204547
44,427.79,0.77212,0.79111,0.8983,0.97181,0.92823,0.94485,0.73393,0.8756,0.91102,0.94214,0.000184744,0.000184744,0.000184744
45,433.46,0.77233,0.83482,0.8834,0.97181,0.92823,0.94485,0.73393,0.8756,0.91102,0.94214,0.000163809,0.000163809,0.000163809
46,438.939,0.91752,0.92271,0.89997,0.97001,0.93308,0.94603,0.73541,0.87149,0.88904,0.93971,0.000141743,0.000141743,0.000141743
47,444.254,0.75926,0.96195,0.86796,0.97001,0.93308,0.94603,0.73541,0.87149,0.88904,0.93971,0.000118544,0.000118544,0.000118544
48,449.787,0.83598,0.85697,0.88871,0.96661,0.93337,0.94654,0.73759,0.87197,0.86644,0.93776,9.4214e-05,9.4214e-05,9.4214e-05
49,455.209,0.85977,0.96535,0.89347,0.96661,0.93337,0.94654,0.73759,0.87197,0.86644,0.93776,6.8752e-05,6.8752e-05,6.8752e-05
50,460.377,0.79245,1.07819,0.92933,0.96487,0.93228,0.94685,0.73626,0.86748,0.83,0.93477,4.21584e-05,4.21584e-05,4.21584e-05
